Fish Name,Fish Family,Region,Season,Is Sustainable,Best Month,Worst Month,Number of Fish per m2,Population Number,Fish Consumption Rate (kg/year),Mortality Rate (%),Cause of Threatening,Threatened,Pollution Level,Threat Level Percentage
Tuna,Scombridae,West Coast,Fall,No,August,October,3,571,29.26,16.1249827,Pollution,Yes,10,100
Snapper,Lutjanidae,West Coast,Summer,Yes,December,January,1.33,1472,4.1,8.359210243,Pollution,No,7,100
Sergeant Major,Pomacentridae,East Coast,Spring,No,March,October,0.53,240,14.82,13.61472833,Overfishing,Yes,9,100
Trout,Salmonidae,Both Coasts,Fall,Yes,February,March,4.21,546,24.87,16.43218547,Climate Change,Yes,10,100
Char,Salmonidae,Both Coasts,Winter,Yes,February,April,0.43,725,27.02,18.67893389,,Yes,9,59.61377389
Sole,Pleuronectidae,West Coast,Fall,Yes,July,December,3.79,2694,2.96,7.272486727,Habitat Destruction,No,2,64.12844992
Grayling,Salmonidae,Both Coasts,Winter,No,November,July,0.33,541,46.8,16.62167352,Overfishing,Yes,9,100
Grouper,Serranidae,East Coast,Summer,Yes,November,April,3.08,2437,6.84,3.163951585,Habitat Destruction,No,1,100
Comber,Serranidae,East Coast,Summer,Yes,April,August,3.24,2110,25.51,6.949313145,Habitat Destruction,No,2,65.17467049
Bonito,Scombridae,West Coast,Fall,Yes,March,July,0.42,897,22.24,10.35970564,Overfishing,Yes,7,100
Sole,Pleuronectidae,West Coast,Fall,No,September,May,2.92,550,38.11,19.1919586,,Yes,8,100
Emperor,Lutjanidae,West Coast,Winter,No,January,September,3.94,773,10.7,14.32906482,Overfishing,Yes,10,63.13525779
Anthias,Serranidae,East Coast,Fall,No,November,January,2.46,1577,10.48,2.012773788,Pollution,No,4,100
Tuna,Scombridae,West Coast,Summer,No,May,September,4.96,390,46.34,14.01417951,Pollution,Yes,10,100
Halibut,Pleuronectidae,West Coast,Summer,No,July,June,3.32,524,32.87,12.92914106,,Yes,8,100
Emperor,Lutjanidae,West Coast,Winter,Yes,January,June,1.6,2326,44.9,6.416143124,,No,2,86.68107752
Comber,Serranidae,East Coast,Winter,No,June,July,0.68,1236,12.48,9.763987888,Pollution,No,5,100
Snapper,Lutjanidae,West Coast,Spring,No,February,September,2.41,2190,17.54,3.324206547,,No,4,100
Jobfish,Lutjanidae,West Coast,Summer,No,October,February,1.55,2202,2.71,2.850716156,Climate Change,No,1,100
Salmon,Salmonidae,Both Coasts,Summer,No,July,December,2.83,782,19.42,18.5867096,Pollution,Yes,10,100
Kingfish,Scombridae,West Coast,Fall,No,March,August,4.09,1239,42.49,11.28185351,Pollution,Yes,6,87.74443351
Anthias,Serranidae,East Coast,Spring,Yes,April,May,3.36,1074,40.88,8.512106796,Overfishing,No,5,61.40453915
Emperor,Lutjanidae,West Coast,Spring,No,July,October,3.05,108,23.49,16.30236243,,Yes,10,100
Sergeant Major,Pomacentridae,East Coast,Spring,No,December,June,3,2923,43.76,6.043435315,Climate Change,No,4,100
Mahogany Snapper,Lutjanidae,West Coast,Spring,No,December,January,2.17,1174,33.01,9.279946046,Overfishing,No,7,100
Emperor,Lutjanidae,West Coast,Winter,No,October,February,2.33,2245,47.37,3.290002688,Pollution,No,4,50.70432437
Salmon,Salmonidae,Both Coasts,Winter,No,June,February,4.61,2210,35.03,7.572572726,Habitat Destruction,No,1,35.43396545
Char,Salmonidae,Both Coasts,Fall,No,December,June,0.72,593,30.12,17.06777128,Climate Change,Yes,8,85.75806515
Tuna,Scombridae,West Coast,Winter,Yes,April,August,2.37,159,8.68,14.298002,,Yes,9,62.49593551
Chromis,Pomacentridae,East Coast,Fall,No,February,April,1.3,699,29.45,14.74200007,Overfishing,Yes,8,100
Snapper,Lutjanidae,West Coast,Winter,Yes,April,June,2.54,2817,5.02,7.10298909,Habitat Destruction,No,1,100
Kingfish,Scombridae,West Coast,Fall,Yes,August,October,3.36,1851,48.8,7.576876094,,No,4,93.15783647
Clownfish,Pomacentridae,East Coast,Fall,Yes,April,December,2.61,2544,8.09,7.869087119,Climate Change,No,4,43.47139908
Sergeant Major,Pomacentridae,East Coast,Winter,No,June,January,2.14,2368,25.97,4.755799667,Climate Change,No,3,100
Anthias,Serranidae,East Coast,Summer,Yes,June,December,3.17,2954,23.5,3.304139674,Climate Change,No,2,100
Flounder,Pleuronectidae,West Coast,Spring,Yes,October,November,0.35,770,18.9,18.40457741,Overfishing,Yes,8,63.85782969
Sea Bass,Serranidae,East Coast,Fall,No,February,June,4.94,1297,34.48,10.79817031,Habitat Destruction,Yes,6,100
Mahogany Snapper,Lutjanidae,West Coast,Summer,Yes,January,July,2.4,1989,41.46,4.668503922,Climate Change,No,2,100
Emperor,Lutjanidae,West Coast,Fall,Yes,January,June,2.86,1499,18.35,11.25570027,Overfishing,Yes,7,100
Emperor,Lutjanidae,West Coast,Fall,No,February,October,1.54,2314,25.34,3.379737998,Climate Change,No,2,100
Anthias,Serranidae,East Coast,Fall,Yes,May,June,2.95,1429,28.37,10.64123092,Climate Change,No,5,100
Halibut,Pleuronectidae,West Coast,Summer,Yes,January,July,0.99,1930,49.29,3.433732032,Pollution,No,4,100
Salmon,Salmonidae,Both Coasts,Winter,No,April,May,3.7,1690,48.87,5.761443635,,No,3,19.48998799
Mackerel,Scombridae,West Coast,Fall,Yes,October,January,2.2,2145,41.35,3.744473405,Pollution,No,2,100
Chromis,Pomacentridae,East Coast,Summer,Yes,June,October,0.63,1490,49.22,9.395953266,Climate Change,No,6,100
Chromis,Pomacentridae,East Coast,Summer,Yes,March,December,2.37,2203,23.8,7.101822725,Climate Change,No,3,100
Char,Salmonidae,Both Coasts,Winter,No,June,November,2.25,108,5.99,16.97296908,Climate Change,Yes,8,100
Grouper,Serranidae,East Coast,Spring,Yes,November,August,3.42,657,16.64,18.17606884,Overfishing,Yes,10,77.73855558
Flounder,Pleuronectidae,West Coast,Winter,Yes,January,September,1.69,186,6.81,12.33307896,Climate Change,Yes,9,100
Damselfish,Pomacentridae,East Coast,Summer,Yes,November,September,1.39,2990,43.15,3.636628296,Climate Change,No,4,56.18098692
Jobfish,Lutjanidae,West Coast,Winter,No,June,October,4.93,467,47.62,19.01589704,Habitat Destruction,Yes,10,54.02641293
Clownfish,Pomacentridae,East Coast,Winter,Yes,October,June,4.97,475,9.52,12.95926442,Habitat Destruction,Yes,8,100
Tuna,Scombridae,West Coast,Summer,Yes,July,April,1.95,291,48.66,12.16036685,,Yes,10,100
Char,Salmonidae,Both Coasts,Fall,Yes,March,February,0.79,2786,13.4,7.017709473,Pollution,No,1,100
Damselfish,Pomacentridae,East Coast,Spring,Yes,November,March,3.34,806,21.01,11.68149433,Pollution,Yes,6,45.50606957
Anthias,Serranidae,East Coast,Summer,Yes,April,June,0.34,2364,5.56,2.066690335,,No,3,100
Anthias,Serranidae,East Coast,Summer,Yes,February,April,2.12,250,1.44,14.95697986,Climate Change,Yes,9,100
Anthias,Serranidae,East Coast,Fall,No,September,March,3.17,2256,28.38,6.899063464,Climate Change,No,2,100
Trout,Salmonidae,Both Coasts,Summer,No,June,March,4.09,2145,33.43,4.025467786,Climate Change,No,1,100
Char,Salmonidae,Both Coasts,Summer,Yes,November,February,1.3,1136,19.71,8.069282452,Climate Change,No,7,62.17016147
Plaice,Pleuronectidae,West Coast,Fall,Yes,July,February,3.13,1046,24.97,11.80737628,Habitat Destruction,Yes,7,100
Halibut,Pleuronectidae,West Coast,Fall,No,October,December,0.17,402,37.39,16.42282683,Pollution,Yes,9,100
Trout,Salmonidae,Both Coasts,Winter,Yes,June,November,1.52,722,9.93,16.95617213,,Yes,8,100
Kingfish,Scombridae,West Coast,Fall,No,February,November,4.41,905,13.35,11.4604059,Overfishing,Yes,7,100
Bonito,Scombridae,West Coast,Summer,Yes,February,October,4.3,2831,3.89,7.581353908,Overfishing,No,4,37.10401487
Sea Bass,Serranidae,East Coast,Winter,Yes,June,February,4.73,225,19.74,16.40608564,Habitat Destruction,Yes,10,100
Char,Salmonidae,Both Coasts,Spring,Yes,August,October,2.59,1462,17.22,11.6895245,Climate Change,No,6,71.56485116
Jobfish,Lutjanidae,West Coast,Winter,No,April,March,0.72,298,34.5,17.94465648,Habitat Destruction,Yes,9,100
Kingfish,Scombridae,West Coast,Summer,No,January,March,1.43,2473,15.26,6.55802656,Habitat Destruction,No,3,61.37441819
Comber,Serranidae,East Coast,Spring,No,May,December,0.42,335,44.69,17.19131288,Climate Change,Yes,9,100
Mahogany Snapper,Lutjanidae,West Coast,Summer,Yes,November,May,4.49,1857,49.98,3.244993031,,No,2,41.1060838
Char,Salmonidae,Both Coasts,Summer,No,April,May,0.46,2882,42.38,3.203006455,Habitat Destruction,No,2,100
Salmon,Salmonidae,Both Coasts,Summer,No,July,November,4.11,531,39.86,14.81600013,Habitat Destruction,Yes,10,77.20487654
Comber,Serranidae,East Coast,Spring,Yes,November,April,2.87,255,36.6,16.35912151,,Yes,10,30.67618231
Clownfish,Pomacentridae,East Coast,Fall,Yes,September,January,0.99,2446,35.92,4.409677287,Habitat Destruction,No,4,25.3952786
Grayling,Salmonidae,Both Coasts,Spring,No,March,February,2.39,223,40.14,17.83399868,Overfishing,Yes,10,100
Damselfish,Pomacentridae,East Coast,Summer,Yes,February,September,2.53,454,1.41,17.88281056,Climate Change,Yes,10,100
Flounder,Pleuronectidae,West Coast,Spring,No,October,August,1.9,1399,22.36,11.01174864,Habitat Destruction,Yes,5,100
Mackerel,Scombridae,West Coast,Spring,Yes,October,February,3.66,496,6.71,15.33977972,,Yes,10,100
Halibut,Pleuronectidae,West Coast,Summer,No,June,May,0.56,1488,37.83,11.93633151,Pollution,Yes,6,45.53366782
Jobfish,Lutjanidae,West Coast,Spring,Yes,May,January,4.55,1849,28.24,2.259877624,,No,2,100
Damselfish,Pomacentridae,East Coast,Spring,Yes,January,May,1.24,1968,11.73,6.270286733,Overfishing,No,4,100
Sole,Pleuronectidae,West Coast,Spring,No,July,June,1.32,458,23.59,14.96919998,,Yes,10,100
Halibut,Pleuronectidae,West Coast,Fall,No,June,December,2.04,637,29.73,18.68859835,Pollution,Yes,10,74.64015342
Halibut,Pleuronectidae,West Coast,Winter,Yes,June,July,1.77,312,15.18,14.45928709,Climate Change,Yes,10,100
Sergeant Major,Pomacentridae,East Coast,Spring,No,December,January,3.2,1895,28.2,5.217772805,Overfishing,No,1,100
Halibut,Pleuronectidae,West Coast,Spring,Yes,May,November,2.49,1098,13.88,10.8304568,Habitat Destruction,No,6,100
Plaice,Pleuronectidae,West Coast,Summer,Yes,June,May,4.63,1627,33.5,2.46200744,Habitat Destruction,No,3,100
Sea Bass,Serranidae,East Coast,Winter,No,October,April,3.76,840,32.59,11.56132462,,Yes,6,71.13276965
Trout,Salmonidae,Both Coasts,Spring,No,July,June,2.37,556,47.72,14.32436857,Climate Change,Yes,10,100
Sergeant Major,Pomacentridae,East Coast,Summer,No,January,May,4.39,2084,36.62,3.328722358,Pollution,No,2,100
Flounder,Pleuronectidae,West Coast,Summer,Yes,December,April,0.8,1857,43.29,2.689457655,Habitat Destruction,No,4,57.88876882
Mackerel,Scombridae,West Coast,Fall,No,April,January,0.65,2721,47.39,3.250816053,Overfishing,No,3,100
Emperor,Lutjanidae,West Coast,Summer,Yes,August,December,2.09,548,42.09,19.89466209,Pollution,Yes,8,67.29974767
Sea Bass,Serranidae,East Coast,Spring,Yes,October,December,1.89,1472,32.54,11.99115629,Climate Change,Yes,7,100
Tuna,Scombridae,West Coast,Spring,Yes,September,June,2.42,850,37.36,8.103585117,Climate Change,Yes,6,100
Plaice,Pleuronectidae,West Coast,Spring,Yes,April,December,3.94,1507,4.69,5.858755355,Climate Change,No,2,27.33197676
Chromis,Pomacentridae,East Coast,Summer,No,July,December,0.32,2116,45.13,2.758265713,Overfishing,No,1,100
Tuna,Scombridae,West Coast,Winter,Yes,April,May,0.31,2322,9.91,5.456681461,Overfishing,No,4,11.6080898
Jobfish,Lutjanidae,West Coast,Winter,Yes,December,February,4.05,2792,29.03,2.764310389,Climate Change,No,2,100
Sergeant Major,Pomacentridae,East Coast,Spring,No,January,March,2.44,2987,6.1,3.581931827,Climate Change,No,3,48.29451123
Sole,Pleuronectidae,West Coast,Fall,Yes,April,November,0.42,693,26.51,15.22748779,Climate Change,Yes,10,100
Char,Salmonidae,Both Coasts,Spring,No,March,April,3.72,1690,29.58,2.678056016,,No,1,100
Mackerel,Scombridae,West Coast,Winter,No,July,April,0.79,289,22.32,16.3525315,Habitat Destruction,Yes,9,100
Comber,Serranidae,East Coast,Spring,Yes,December,March,4.91,757,16.84,14.26929879,,Yes,10,87.47616444
Anthias,Serranidae,East Coast,Winter,Yes,August,July,2.57,1675,26.14,3.210735667,Habitat Destruction,No,1,100
Bonito,Scombridae,West Coast,Fall,Yes,August,April,2.65,1271,38.1,11.05349861,Habitat Destruction,Yes,6,100
Tuna,Scombridae,West Coast,Spring,No,July,September,4.95,2498,48.47,6.142650457,,No,2,100
Grouper,Serranidae,East Coast,Fall,Yes,January,July,0.2,387,21.61,12.98330616,Pollution,Yes,8,100
Plaice,Pleuronectidae,West Coast,Spring,No,April,January,3.58,248,1.07,16.16047656,Pollution,Yes,8,28.89178926
Char,Salmonidae,Both Coasts,Summer,No,September,November,1.92,375,8.48,12.16802652,Pollution,Yes,8,12.1668113
Damselfish,Pomacentridae,East Coast,Winter,Yes,August,April,0.86,507,26.14,15.40759251,,Yes,8,100
Jobfish,Lutjanidae,West Coast,Spring,Yes,September,August,1.53,2761,32.21,3.754515646,Habitat Destruction,No,3,100
Anthias,Serranidae,East Coast,Fall,Yes,August,March,2.89,2488,46.66,5.077974627,Habitat Destruction,No,2,80.03200416
Salmon,Salmonidae,Both Coasts,Winter,Yes,September,October,3.62,1104,33.19,11.36114667,,Yes,7,58.91465682
Mahogany Snapper,Lutjanidae,West Coast,Winter,Yes,January,July,1.09,2381,48.96,7.275819495,Overfishing,No,3,100
Chromis,Pomacentridae,East Coast,Winter,No,March,August,2.32,495,49.94,14.61517209,Pollution,Yes,9,100
Tuna,Scombridae,West Coast,Summer,No,May,August,1.12,2358,16.93,6.431739021,Climate Change,No,2,100
Flounder,Pleuronectidae,West Coast,Fall,No,January,December,4.1,772,24.49,13.76772649,Climate Change,Yes,8,100
Comber,Serranidae,East Coast,Fall,Yes,January,October,3.17,718,23.56,13.47235535,Habitat Destruction,Yes,8,50.74010251
Flounder,Pleuronectidae,West Coast,Spring,No,March,January,4.53,698,10.77,19.6948374,Habitat Destruction,Yes,8,25.02058064
Sea Bass,Serranidae,East Coast,Spring,No,May,September,1.25,641,41.36,14.97671646,Pollution,Yes,10,99.27105039
Tuna,Scombridae,West Coast,Fall,Yes,October,December,1.26,534,6.31,19.53069284,,Yes,10,100
Bonito,Scombridae,West Coast,Fall,No,May,July,3.69,1712,25.73,7.497904651,,No,1,100
Sole,Pleuronectidae,West Coast,Fall,No,April,May,4.3,1138,20.17,10.84735412,,Yes,7,100
Flounder,Pleuronectidae,West Coast,Fall,No,May,October,4.6,2343,49.03,3.461310523,Habitat Destruction,No,2,93.62033649
Grayling,Salmonidae,Both Coasts,Spring,No,January,October,4.23,2322,36.37,4.741896457,Overfishing,No,3,100
Mahogany Snapper,Lutjanidae,West Coast,Summer,No,January,May,0.4,1464,23.87,8.453983396,Overfishing,No,5,100
Damselfish,Pomacentridae,East Coast,Summer,Yes,October,March,0.72,2851,10.09,5.9749277,Overfishing,No,1,100
Chromis,Pomacentridae,East Coast,Spring,Yes,February,September,1.26,268,13.63,17.50660087,Pollution,Yes,10,58.02241294
Trout,Salmonidae,Both Coasts,Spring,Yes,March,June,0.49,1306,29.15,11.1629526,,Yes,7,100
Sea Bass,Serranidae,East Coast,Winter,Yes,December,November,1.74,1218,33.44,11.70100729,,Yes,7,100
Kingfish,Scombridae,West Coast,Winter,No,March,October,4.53,1194,47.95,10.72699824,,Yes,5,39.15900221
Chromis,Pomacentridae,East Coast,Spring,No,March,December,1.49,1000,34.99,8.576291268,Pollution,No,7,100
Tuna,Scombridae,West Coast,Winter,Yes,January,October,3.09,2857,45.61,3.16656713,Habitat Destruction,No,1,100
Kingfish,Scombridae,West Coast,Summer,Yes,March,April,4.7,1210,6.79,10.98882599,Climate Change,No,5,100
Tuna,Scombridae,West Coast,Spring,No,March,January,3.76,339,37.27,17.04985397,Habitat Destruction,Yes,9,57.36619015
Mahogany Snapper,Lutjanidae,West Coast,Spring,No,July,February,4.67,2996,39.47,3.188021359,Overfishing,No,1,77.02937887
Mackerel,Scombridae,West Coast,Fall,No,November,December,3.81,2901,10.06,3.423280029,Pollution,No,2,100
Tuna,Scombridae,West Coast,Summer,No,December,September,0.88,720,21.41,14.78052756,Overfishing,Yes,10,100
Clownfish,Pomacentridae,East Coast,Winter,Yes,January,April,1.88,2960,22.58,2.649868152,,No,1,46.90016784
Mackerel,Scombridae,West Coast,Spring,No,March,July,3.92,1911,17.94,4.812225511,Habitat Destruction,No,1,100
Mackerel,Scombridae,West Coast,Winter,No,December,February,0.31,2315,29.54,6.811891176,Climate Change,No,2,73.18567281
Plaice,Pleuronectidae,West Coast,Summer,No,May,October,2.34,230,49.84,12.83965947,Climate Change,Yes,9,19.80182297
Char,Salmonidae,Both Coasts,Fall,Yes,July,September,4.23,2122,41.52,5.490577742,Climate Change,No,1,100
Kingfish,Scombridae,West Coast,Spring,No,January,May,2.22,215,5.55,16.2119443,Habitat Destruction,Yes,9,100
Salmon,Salmonidae,Both Coasts,Winter,No,February,January,2.14,1962,30.79,2.447483461,Overfishing,No,1,62.58296606
Grouper,Serranidae,East Coast,Summer,Yes,March,September,4.27,365,38.89,14.26196627,Climate Change,Yes,8,51.39964597
Char,Salmonidae,Both Coasts,Spring,No,December,March,3.18,1698,19.55,4.015501196,Overfishing,No,2,77.90388194
Emperor,Lutjanidae,West Coast,Summer,No,April,September,2.77,820,22.84,8.656369508,Habitat Destruction,No,6,50.11575252
Bonito,Scombridae,West Coast,Spring,No,November,March,2.11,2690,40.03,5.160104107,,No,3,100
Snapper,Lutjanidae,West Coast,Summer,No,December,July,2.01,811,2.44,8.346026433,Climate Change,No,5,100
Trout,Salmonidae,Both Coasts,Winter,No,March,August,4.89,2163,17.16,6.505975545,Pollution,No,2,100
Trout,Salmonidae,Both Coasts,Fall,Yes,July,October,3.26,1376,13.07,11.27514013,Overfishing,Yes,5,100
Emperor,Lutjanidae,West Coast,Winter,No,February,April,2.07,2542,23.96,3.514176617,Pollution,No,1,100
Plaice,Pleuronectidae,West Coast,Fall,Yes,June,July,0.66,1108,31.58,11.7593083,Climate Change,Yes,5,100
Clownfish,Pomacentridae,East Coast,Fall,Yes,November,March,3.6,1883,40.76,4.603368297,,No,3,44.44559179
Mahogany Snapper,Lutjanidae,West Coast,Fall,No,February,July,1.98,290,24.58,16.44500999,Pollution,Yes,9,100
Bonito,Scombridae,West Coast,Summer,Yes,August,November,4.61,2731,38.43,7.100087603,Overfishing,No,2,100
Sole,Pleuronectidae,West Coast,Fall,Yes,August,September,3.52,2270,48.75,5.713793225,Pollution,No,2,100
Sergeant Major,Pomacentridae,East Coast,Spring,Yes,October,May,0.92,1515,27.78,4.39106676,Pollution,No,4,100
Jobfish,Lutjanidae,West Coast,Fall,No,May,December,0.37,2534,46,2.252471954,Habitat Destruction,No,2,53.43361053
Grayling,Salmonidae,Both Coasts,Summer,No,November,August,4.01,1796,1.99,3.63362514,Overfishing,No,4,84.9439861
Kingfish,Scombridae,West Coast,Winter,Yes,November,December,3.34,1741,36.91,2.232178223,Overfishing,No,2,100
Damselfish,Pomacentridae,East Coast,Fall,Yes,January,April,2.07,879,22.13,9.483070384,Climate Change,Yes,7,100
Damselfish,Pomacentridae,East Coast,Winter,No,June,April,1.63,900,45,9.299522049,Pollution,Yes,6,60.09159747
Trout,Salmonidae,Both Coasts,Winter,Yes,September,November,4.51,1152,33.29,9.169304487,Habitat Destruction,No,7,53.48202379
Clownfish,Pomacentridae,East Coast,Spring,Yes,March,May,2.51,1508,10.05,5.592132873,,No,3,100
Flounder,Pleuronectidae,West Coast,Summer,No,February,January,4.15,1576,24.85,6.455077953,Habitat Destruction,No,3,51.24446018
Grayling,Salmonidae,Both Coasts,Fall,Yes,August,July,2.87,1235,8.9,8.111264992,Climate Change,No,7,100
Char,Salmonidae,Both Coasts,Spring,No,January,February,1.2,791,9.81,16.45159834,,Yes,10,48.02462218
Flounder,Pleuronectidae,West Coast,Spring,Yes,November,October,3.78,418,5.88,15.20762593,,Yes,8,100
Clownfish,Pomacentridae,East Coast,Summer,Yes,March,May,4.55,2048,48.97,5.372159627,Habitat Destruction,No,2,69.14330971
Flounder,Pleuronectidae,West Coast,Fall,No,November,May,0.22,2701,43.07,3.795433173,,No,2,66.16498641
Halibut,Pleuronectidae,West Coast,Spring,No,August,November,1.08,1082,47.62,9.720592854,Overfishing,No,6,100
Anthias,Serranidae,East Coast,Spring,Yes,August,April,2.56,1028,32.3,8.970259202,Climate Change,No,6,100
Kingfish,Scombridae,West Coast,Fall,No,June,December,4.32,2075,17.22,2.304437228,Overfishing,No,1,100
Chromis,Pomacentridae,East Coast,Fall,No,October,August,3.24,1672,24.95,6.707526359,Overfishing,No,1,100
Kingfish,Scombridae,West Coast,Fall,Yes,March,April,4.39,1251,46.02,10.32436353,Habitat Destruction,Yes,7,100
Grayling,Salmonidae,Both Coasts,Summer,Yes,January,April,0.5,1088,32.76,9.541965267,Habitat Destruction,No,7,86.34536406
Snapper,Lutjanidae,West Coast,Summer,No,June,May,3.43,327,21.97,18.33682524,Habitat Destruction,Yes,10,100
Char,Salmonidae,Both Coasts,Spring,Yes,November,March,1.82,103,11.09,13.17182962,Climate Change,Yes,8,57.73571891
Char,Salmonidae,Both Coasts,Spring,No,December,October,3.94,2739,12.2,4.325839303,Climate Change,No,2,100
Sole,Pleuronectidae,West Coast,Fall,Yes,September,June,3.28,2314,25.68,6.238410825,Overfishing,No,3,100
Sergeant Major,Pomacentridae,East Coast,Fall,No,May,June,3.09,2812,13.34,6.030668422,Climate Change,No,2,100
Chromis,Pomacentridae,East Coast,Summer,No,January,June,0.44,783,32.19,13.00327255,Pollution,Yes,10,100
Mahogany Snapper,Lutjanidae,West Coast,Spring,No,April,February,2.8,2544,49,7.186299746,Pollution,No,4,33.49044746
Grouper,Serranidae,East Coast,Winter,No,April,July,1.54,382,10.09,16.45786583,Pollution,Yes,8,100
Bonito,Scombridae,West Coast,Winter,Yes,September,June,3.56,1775,44.04,4.200321552,Pollution,No,2,76.06908787
Bonito,Scombridae,West Coast,Fall,Yes,April,August,1.48,2702,40.11,4.485779414,,No,2,100
Anthias,Serranidae,East Coast,Summer,Yes,December,April,0.26,1391,2.78,11.23540167,Overfishing,Yes,7,100
Sole,Pleuronectidae,West Coast,Fall,Yes,July,November,3.76,2979,22.9,3.073170419,Pollution,No,4,100
Snapper,Lutjanidae,West Coast,Spring,No,May,January,3.5,2076,48.19,2.760119036,Pollution,No,1,100
Clownfish,Pomacentridae,East Coast,Spring,No,January,July,4.88,496,41.53,14.21312561,Climate Change,Yes,10,91.96025204
Sole,Pleuronectidae,West Coast,Spring,Yes,December,July,1.61,1037,2.62,10.28897558,Overfishing,Yes,6,73.65060772
Grayling,Salmonidae,Both Coasts,Fall,No,December,September,2.89,2991,1.03,3.943849077,Pollution,No,2,100
Plaice,Pleuronectidae,West Coast,Summer,Yes,December,September,0.4,528,4.42,13.5023729,Climate Change,Yes,10,100
Char,Salmonidae,Both Coasts,Fall,Yes,March,November,4.85,867,35.92,8.078534617,Overfishing,Yes,6,100
Jobfish,Lutjanidae,West Coast,Spring,Yes,August,March,1.82,390,3.47,12.01039247,Overfishing,Yes,10,82.56190528
Sole,Pleuronectidae,West Coast,Winter,No,January,June,4.35,2310,45,5.308259708,Overfishing,No,4,82.54203429
Bonito,Scombridae,West Coast,Winter,Yes,September,December,2.7,404,39.15,14.95071078,Pollution,Yes,8,52.06698111
Trout,Salmonidae,Both Coasts,Fall,No,August,July,3.43,1221,4.8,10.77348995,Climate Change,Yes,7,100
Sole,Pleuronectidae,West Coast,Winter,No,January,March,0.81,360,29.49,15.8995228,Pollution,Yes,9,68.72696674
Emperor,Lutjanidae,West Coast,Fall,No,December,May,3.37,2818,39.97,3.5739156,Overfishing,No,3,100
Sea Bass,Serranidae,East Coast,Summer,Yes,February,July,1.9,1566,30.65,3.627512222,Climate Change,No,3,100
Tuna,Scombridae,West Coast,Fall,No,November,March,2.76,2639,30.82,5.091072789,Habitat Destruction,No,3,37.41239652
Sea Bass,Serranidae,East Coast,Spring,No,April,October,4.75,291,13.72,13.63996315,Overfishing,Yes,9,100
Mackerel,Scombridae,West Coast,Winter,No,August,September,1.9,2853,26.47,2.825364266,,No,2,47.80470125
Emperor,Lutjanidae,West Coast,Summer,No,September,June,2.37,922,49.29,11.50508913,Overfishing,Yes,5,100
Clownfish,Pomacentridae,East Coast,Spring,No,April,February,1.51,1182,10.2,9.7345899,Pollution,No,5,37.29761683
Comber,Serranidae,East Coast,Fall,Yes,July,September,4.68,2231,4.21,4.045105795,Pollution,No,2,100
Grouper,Serranidae,East Coast,Winter,No,August,March,0.86,2977,11.28,6.771266692,,No,3,67.16969524
Clownfish,Pomacentridae,East Coast,Summer,Yes,January,December,2.43,2012,40.81,6.310218296,Overfishing,No,2,100
Comber,Serranidae,East Coast,Summer,Yes,December,May,4.27,1144,19.68,10.63553969,Pollution,Yes,7,100
Trout,Salmonidae,Both Coasts,Summer,No,January,May,4.41,1489,33.96,8.434217564,Overfishing,No,5,77.14521751
Comber,Serranidae,East Coast,Fall,Yes,April,January,1.84,1040,2.32,11.23452797,Climate Change,No,6,100
Trout,Salmonidae,Both Coasts,Spring,Yes,April,May,0.34,178,30.27,19.6265991,Habitat Destruction,Yes,9,100
Comber,Serranidae,East Coast,Winter,No,November,August,4.08,2005,17.79,2.795104342,,No,4,100
Sole,Pleuronectidae,West Coast,Fall,No,March,May,1.73,2941,5.2,4.528426886,Pollution,No,4,100
Jobfish,Lutjanidae,West Coast,Summer,No,May,February,2.13,625,11.86,13.58704776,,Yes,9,83.79811081
Jobfish,Lutjanidae,West Coast,Summer,No,October,February,4,1626,10.39,3.758175839,Climate Change,No,4,100
Anthias,Serranidae,East Coast,Summer,No,February,August,1.44,2951,47.95,3.990673592,Pollution,No,2,93.21088826
Tuna,Scombridae,West Coast,Spring,No,May,November,4.63,899,38.76,9.678438496,Climate Change,Yes,6,100
Anthias,Serranidae,East Coast,Winter,No,January,August,4.8,2973,48.43,6.756522126,,No,2,100
Char,Salmonidae,Both Coasts,Spring,Yes,March,February,2.74,906,25.77,10.75867979,Overfishing,Yes,5,74.26225788
Salmon,Salmonidae,Both Coasts,Fall,Yes,October,February,3.08,1377,9.04,10.06998409,Habitat Destruction,No,6,30.17175566
Sea Bass,Serranidae,East Coast,Summer,No,April,March,3.05,802,42.65,8.471868179,,Yes,7,100
Kingfish,Scombridae,West Coast,Spring,Yes,September,January,2.51,808,1.84,8.530115977,Pollution,Yes,7,100
Snapper,Lutjanidae,West Coast,Winter,No,March,December,4.32,1348,3.45,11.55214951,,Yes,7,100
Sea Bass,Serranidae,East Coast,Summer,Yes,December,November,3.76,814,7.61,9.233017509,Pollution,Yes,7,100
Sergeant Major,Pomacentridae,East Coast,Fall,Yes,August,September,1.16,853,24.17,8.667783088,Pollution,No,6,56.86442179
Damselfish,Pomacentridae,East Coast,Summer,No,February,August,0.12,978,40.4,9.290147327,,Yes,6,100
Tuna,Scombridae,West Coast,Spring,Yes,January,February,0.15,650,27.12,17.57275878,,Yes,9,100
Salmon,Salmonidae,Both Coasts,Winter,No,September,June,0.76,2527,32.7,7.543699961,Overfishing,No,2,100
